Estado,Valor_C3,Valor_CZ,Valor_C4,Muestra
Reposo,196.0,191.0,196.0,0
Reposo,271.0,279.0,271.0,0
Reposo,197.0,192.0,197.0,1
Reposo,218.0,218.0,218.0,2
Reposo,239.0,238.0,239.0,3
Reposo,194.0,189.0,194.0,4
Reposo,264.0,271.0,264.0,5
Reposo,203.0,197.0,203.0,6
Reposo,199.0,194.0,199.0,7
Reposo,263.0,267.0,263.0,8
Reposo,195.0,189.0,195.0,9
Reposo,242.0,246.0,242.0,10
Reposo,217.0,212.0,217.0,11
Reposo,196.0,191.0,196.0,12
Reposo,271.0,278.0,271.0,13
Reposo,198.0,193.0,198.0,14
Reposo,213.0,212.0,213.0,15
Reposo,244.0,244.0,244.0,16
Reposo,194.0,190.0,194.0,17
Reposo,261.0,268.0,261.0,18
Reposo,204.0,198.0,204.0,19
Reposo,198.0,193.0,198.0,20
Reposo,265.0,270.0,265.0,21
Reposo,195.0,190.0,195.0,22
Reposo,237.0,242.0,237.0,23
Reposo,221.0,216.0,221.0,24
Reposo,195.0,190.0,195.0,25
Reposo,270.0,277.0,270.0,26
Reposo,199.0,192.0,199.0,27
Reposo,208.0,206.0,208.0,28
Reposo,248.0,248.0,248.0,29
Reposo,194.0,189.0,194.0,30
Reposo,257.0,264.0,257.0,31
Reposo,205.0,199.0,205.0,32
Reposo,197.0,192.0,197.0,33
Reposo,267.0,272.0,267.0,34
Reposo,196.0,190.0,196.0,35
Reposo,234.0,236.0,234.0,36
Reposo,224.0,220.0,224.0,37
Reposo,195.0,190.0,195.0,38
Reposo,269.0,276.0,269.0,39
Reposo,200.0,194.0,200.0,40
Reposo,206.0,203.0,206.0,41
Reposo,252.0,253.0,252.0,42
Reposo,194.0,188.0,194.0,43
Reposo,254.0,260.0,254.0,44
Reposo,206.0,200.0,206.0,45
Reposo,197.0,192.0,197.0,46
Reposo,269.0,275.0,269.0,47
Reposo,196.0,190.0,196.0,48
Reposo,229.0,231.0,229.0,49
Reposo,228.0,224.0,228.0,50
Reposo,195.0,189.0,195.0,51
Reposo,267.0,274.0,267.0,52
Reposo,200.0,194.0,200.0,53
Reposo,203.0,200.0,203.0,54
Reposo,255.0,257.0,255.0,55
Reposo,194.0,188.0,194.0,56
Reposo,250.0,256.0,250.0,57
Reposo,208.0,201.0,208.0,58
Reposo,196.0,191.0,196.0,59
Reposo,270.0,276.0,270.0,60
Reposo,196.0,190.0,196.0,61
Reposo,224.0,226.0,224.0,62
Reposo,231.0,229.0,231.0,63
Reposo,194.0,189.0,194.0,64
Reposo,266.0,273.0,266.0,65
Reposo,201.0,195.0,201.0,66
Reposo,200.0,197.0,200.0,67
Reposo,259.0,261.0,259.0,68
Reposo,194.0,189.0,194.0,69
Reposo,247.0,252.0,247.0,70
Reposo,211.0,205.0,211.0,71
Reposo,196.0,191.0,196.0,72
Reposo,271.0,278.0,271.0,73
Reposo,197.0,191.0,197.0,74
